,alb,ara,chn,deu,ell,eng,fin,fra,hrv,ind,ita,jpn,pol,por,zsm,nld,rus,spa,vnm
ShotaverageLength,Koha mesatare e reagimit,معدل وقت رد الفعل,平均反应时长,Durchschnittliche Reaktionszeit,Μέσος χρόνος αντίδρασης,Average reaction time,laukaisun keskipituus,Temps de réaction moyen,Prosječno vrijeme reakcije,Masa tindak balas purata,Tempo medio di reazione,,Średni czas reakcji,Tempo médio de reaçâo,Masa tindak balas purata,Gemiddelde reactietijd,Среднее время реагирования,Tiempo promedio de reaccion,Thời gian phản ứng trung bình
AverageLength,Koha mesatare,معدل الوقت,平均时长,Durchschnittliche Zeit,Μέσος χρόνος,Average time,keskipituus,Temps moyen,Prosječo vrijeme,Masa purata,Tempo medio,,Średni czas,Tempo médio,Masa purata,Gemiddelde tijd,Среднее время ,Tiempo promedio,Thời gian trung bình
ShotmedianLength,Mediani i kohës së reagimit, متوسط وقت رد الفعل,中位反应时长,Median-Reaktionszeit,Μέση τιμή χρόνου αντίδρασης,Median reaction time,laukaisun mediaanipituus,Temps de réaction médian,Srednje vrijeme reakcije,Masa reaksi Median,Mediana tempo di reazione,,Sredni czasu reakcji,Tempo mediano de reaçâo,Masa reaksi Median,Mediaan reactietijd,Медианное время реагирования,Tiempo medio de reaccion,Giá trị giữa của thời gian phản ứng
MedianLength,Koha mediane,متوسط الوقت,中位时长,Median-Zeit,Μέση τιμή χρόνου,Median time,mediaanipituus,Temps médian,Srednje vrijeme,Masa Median,Mediana tempo,,Sredni czasu,Tempo mediano,Masa Median,Mediaan tijd,Медианное время ,Mediana del tiempo,Giá trị giữa của thời gian
StandDev,Shmangia standarte,الانحراف المعياري,标准差,Standardabweichung,Τυπική απόκλιση,Standard deviation,seisia,Écart-type,Standardno odstupanje,Sisihan piawai,Deviazione standard,,Odchylenie standardowe,Desvio padrão,Sisihan piawai,Standaard afwijking,Стандартное отклонение,Desviación estandar,Độ lệch chuẩn
UncountedShot,Gjuajtje të panumëruara,رميات غير محتسبة,未计数射击,Nicht gezählte Schüsse,Μη καταγεγραμμένοι πυροβολισμοί,Uncounted Shots,laskemattomat laukaisut,Tirs non comptés,Neubrojeni pogoci,Tembak yang tidak dijangka,Tiri non conteggiati,,Niepoliczony strzal,Tiros nào contabilisados,Tembak yang tidak dijangka,Ongetelde hits,Неучтенный выстрел,Tiros no contados,Lần bắn ko được tính
ConfigTitle,Konfigurimi,ترتيب,恭喜你！,Konfiguration,Διαμόρφωση,Configuration,asetuksen nimi,Configuration,Konfiguracija,Konfigurasi,Configurazione,,Konfiguracja,Configuraçaô,Konfigurasi,Configuratie,Конфигурация,Configuración,Tùy chỉnh
Lang,Gjuha,لغة,语言,Sprache,Γλώσσα,Language,kieli,Langue,Jezik,Bahasa,Lingua,,Język,lingua,Bahasa,Taal,Язык,Idioma,Ngôn ngữ
EyeTracker,Eye Tracker,تعقب العين,眼球跟踪,Eyetracker,Συσκευή εντοπισμού ματιού,Eye Tracker,katseohjattava,Oculomètre,Instrument za praćenje pogleda (Eye Tracker),Tracker Mata,Tracciatore oculare (eye tracker),,tropiciel oka,Seguimento do olhar,Tracker Mata,Oogsturingsmodule,АйТрекер,Eye tracker,Theo dõi ánh mắt
FileDir,Direktoria,دليل الملف,文件夹,Dateiverzeichnis,Κατάλογος αρχείων,Files Directory ,tallennuspaikka,Répertoire des fichiers,Datoteka,Direktori Fail,Cartella,,Katalog plików,Diretório de Arquivos,Direktori Fail,Bestands locatie,Директоия файлов,Directorio,Thư mục
FixationLength,Koha e fiksimit (sekonda),مدة التثبيت (بالثواني),注视时长（秒）,Dauer der Fixierung  (Sekunden),Μήκος σταθεροποίησης (δευτερόλεπτα),Fixation Length (seconds),kiinnittämisen pituus,Durée de la fixation (secondes),Dužina fiksiranog pogleda (u sekundama),Panjang Penekanan (saat),Durata fissazione (secondi),,Czas poprawki (sekundy),Duracaõ de fixação,Panjang Penekanan (saat),Fixatietijd (seconden),Длина фиксации (в секундах),Duración de la fijación,Độ dài cố định (giây)
LayoutFile,Stilet,ملف نموذجي,,Style Sheets,Φύλλα στυλ,Style Sheets,asettelutiedosto,Fichier de style,Raspored datoteka,Helaian Gaya,Fogli di stile,,Arkusze stylów,Diretório do jogo « Onde é »,Helaian Gaya,Stijlen,Таблица стилей,Hojas de estilo,Tập tin Định dạng
WhereIsItDirectory,Direktoria “Ku është?”, دليل اللعبة اين هذا؟,《它在哪》游戏目录,Spielverzeichnis « Wo ist es? »,Που είναι; Ευρετήριο παιχνιδιών,« Where is it? » Game directory,missä se on-hakemisto,Répertoire du jeu « Où est-ce ? >,Gdje je? Datoteka igre,« Di mana? » Arahan permainan,"Cartella gioco ""Dov'è?""""artella",, Gdzie to jest?  Katalog gier,Duracaõ de afichagem das perguntas,« Di mana? » Arahan permainan,Waar is het Spel bestandslocatie,Где это? директория Игры,"Directorio del juego ""¿Donde está?""""irectorio del",Thư mục game
WII-error,Verifikim i direktorisë “Ku është?”,تثبت من دليل اللعبة اين هذا؟,查找《它在哪》游戏目录,Überprüfen Spielverzeichnis « Wo ist es? »,Ελέγξτε «Πού είναι; ,Check « Where is it? » Game directory,Tarkista «Missä se on? » Pelihakemisto,Vérifiez le répertoire du jeu « Où est-ce ? ».,Provjeri ,Semak « Di mana? » Arahan permainan,"Controllo cartella di gioco ""Dov'è?""""ontroll",,Sprawdź «Gdzie to jest? » Katalog gier,*Verifique «Onde está? ,Semak «Di mana? » Arahan permainan,verifiëer ,Проверка ,"Verifica el directorio del juego ""¿Donde está?""""erifica el di",Kiểm tra Thư mục game
QuestionLength,Kohëzgjatja e pyetjeve,مدة ظهور الاسئلة,,Dauer der Veröffentlichung von Fragen,Μήκος εμφάνισης ερωτήματος,Question Display Length,kysymys,Durée d’affichage des question,Dužina prikazivanja pitanja,Panjang Paparan Soalan,Durata esposizione della domanda,,Długość wyświetlania pytania,*Pergunta Display Length,Panjang Paparan Soalan,Hoe lang de vraag tonen?,Длина дисплея вопроса,Duración de visualización de las preguntas,Thời gian hiển thị câu hỏi
Cups and Balls,Tasa dhe topa,كؤوس وكرات,杯子和球,Bechertrick,Επιτυχημένες αποκαλύψεις,Cups and Balls,kupit ja pallot,Gobelets Pass Pass,Šalice i lopte,Piala dan Balls,Tazze e palle,,Puchary i kule,*Copos e Bolas,Piala dan Balls,Bekers en Ballen,Чашки и шарики,Tazas y bolas,Chiếc cốc và Quả bóng
Biboules,Biboules,كويرات,垒球,Biboles,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Biballs,biboules,Biboules,Biboules,Biballs,Biballs,,Biballs,Biboules,Biballs,Vliegjes,Безделушки,Biboules,Bóng Bi
Robots,Robota,روبوتات,机器人,Roboters,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Robots,ropotit,Robots,Roboti,Robot,Robot,,Roboty,Robots,Robot,Robotten,Роботы,Robot,Rô-bốt
Memory,Memorizo,ذاكرة,记忆,Memory,Επιτυχημένες αποκαλύψεις,Memory,muisti,Memory,Memory,Memori,Memory,,Pamięć,Memoria,Memori,Memory,Память,Memory,Bộ nhớ
MemoryLetters,Memorizo Shkronjat,ذاكرة (الأحرف),,,,Memory (Letters),,Memory (lettres),,,,,,,,,,,
MemoryNumbers,Memorizo Numrat,ذاكرة (أرقام),,,,Memory (Numbers),,Memory (nombres),,,,,,,,,,,
EnableRewardSound,Aktivizo audion për shpërblimet,تفعيل الصوت (احسنت),打开奖励音效,Aktiviere den Sound Bravo,Ενεργοποίηση ήχου ανταμοιβής,Enable Reward sound,sallia palkkioääni,Activer le son « bravo »,Aktiviraj zvuk za ,Dayakan bunyi Ganjaran,Attiva suono ricompensa,,Włącz dźwięk nagrody,Activar o som a « Bravo »,Dayakan bunyi Ganjaran,Activeer beloningsgeluid,Включить звук вознаграждения,Activar el sonido Bravo,Bật tiếng
DisableHeatMap,Çaktivizo Heat Map,الغاء خريطة الحرارة,关闭热量地图,Deaktivieren Sie die Heat Map,Απενεργοποιήστε το χάρτη θερμότητας,Disable Heat Map,estää lämpökartta,Désactiver la Heat Map,Deaktiviraj mapu za toplinu,Lumpuhkan Peta Haba,Disattiva mappa di calore,,Wyłącz mapę ciepła,Desactivar heatmap,Lumpuhkan Peta Haba,Deactiveer Heat Map,Отключить тепловую карту,Desactivar mapa de calor,Tắt
DisableSequence,Çaktivizo Sequencën e Fiksimit,,,,,Disable the Fixation Sequence,,Désactiver la Séquence de fixation,,,Disattive la sequenza di fissazione,,,Desactivar la secuencia de fijación,,,,,
EnableGazeMenu,Aktivizo Menunë Gaze (Beta),تفعيل النظر ,,Aktivieren Sie das Blickmenü (Beta),Ενεργοποίηση του μενού Gaze (Beta),Enable the Gaze Menu (Beta),sallia gaze-menu,Activer le menu regard (Beta),Aktiviraj meni za pogled (Beta),Dayakan Menu Gila (Beta),Attiva il menù di vista (beta),,Włącz menu Gaze (Beta),Activar o menu regard (Beta),Dayakan Menu Gila (Beta),Activeer menu blikrichting (Beta),Включить меню Гейз (бета),Activar el menú de mirada (Beta),Bật Menu Gaze
MenuOrientation,Orientimi i menusë (nevojitet rinisja e lojës),إتجاه القائمة,,Menüorientierung (erfordert Neustart des Spiels),Μενού προσανατολισμού (επανεκκίνηση του παιχνιδιού για να τεθεί σε ισχύ),Menu Orientation (restart game to take effect),valikon suunta,Orientation du menu (nécessite de relancer le jeu),Orjentacijski meni (restartiraj igru za aktivaciju),Orientasi Menu (memulakan semula permainan untuk berkuatkuasa),Orientazione del menù (è richiesto il riavvio del gioco),,Orientacja menu (uruchom ponownie grę),orientacaõ domens,Orientasi Menu (memulakan semula permainan untuk berkuatkuasa),Richting menu (herstart nodig voor activering),Управление через Меню (перезапустите игру для ввода в дйствие),Orientación del menú (requiere reiniciar el juego),Phương ngang/dọc của menu (Khởi động lại để có hiệu lực)
Music,Muzika,موسيقى ,音乐,Musik,Μουσική,Music,musiikki,Musique,Muzika,Muzik,Musica,,Muzyka,Música,Muzik,Muziek,Музыка,Musica,Âm nhạc
Volume,Volumi,صوت,,Volume,Ενταση Ήχου,Volume,äänenvoimakkuus,Volume,Glasnoća,Jumlah dagangan,Volume,,Tom,Volume,Jumlah dagangan,Volume,Громкость,Volumen,Âm lượng
OpenMemory,Memorizo (hapur),ذاكرة مفتوحة,,OpenMemory,Επιτυχημένες αποκαλύψεις,OpenMemory,avoin muisti,Memory ouvert,Otvori memoriju,OpenMemory,Memory aperto,,Otwarta pamiec,Memoria Aberta,OpenMemory,Open Memory,Доступная память,Memory abierto,Bộ nhớ Mở rộng
OpenMemoryLetters,Memorizo Shkronjat (hapur),ذاكرة مفتوحة (الأحرف),,,,Open Memory (Letters),,Memory ouvert (lettres),,,,,,,,,,,
OpenMemoryNumbers,Memorizo Numrat (hapur),ذاكرة مفتوحة (أرقام),,,,Open Memory (Numbers),,Memory ouvert (nombres),,,,,,,,,,,
Video Player with Feedback,Video player me reagim,تشغيل الفيديو مع العودة,,Video Player mit Feedback,Βίντεο με Ανατροφοδότηση,Video Player with Feedback,video player palautteella,Lecteur Video avec retour,Video player sa povratnom informacijom,Pemain Video dengan Maklum Balas,Lettore video con feedback,,Odtwarzacz wideo z komentarzem,Leitore video com feedback,Pemain Video dengan Maklum Balas,Video speler met feedback,Видеоплеер с Обратной связью,Reproductor de video con comentarios,Trình chơi nhạc có Phản hồi
Choose Game Variante,Zgjidh një variant,اختيار البديل,,Wählen Sie Variante,Επιλέξτε εναλλακτική λύση,Choose Variante,valitse peli -muunnos,Choisi une variante,Izaberi varijantu igre,Pilih Variante,Scegli una variante,,Wybierz wariant,Escolhe jogo variante,Pilih Variante,Kies een variant,Выбрать вариант игры,Elija Variante,Chọn loại bạn muốn
Enter FullScreen,Aktivizo Ekranin e plotë,إدخال كامل الشاشة,,Vollbild,Κατάσταση πλήρους οθόνης,Enter FullScreen,valitse täysi näyttö,Mettre en plein écran,Povećaj ekran,Masukkan Fullscreen,Attiva modalità schermo intero,,Wlacz pelny ekran,Entrar ao modo pleino ecrà,Masukkan Fullscreen,Toon op volledig scherm,Войти в режим Полного экрана,Pantalla completa,Chuyển sang
Exit FullScreen,Çaktivizo Ekranin e plotë,الخروج من كامل الشاشة,,Beenden Sie den Vollbildmodus,Έξοδος από Κατάσταση πλήρους οθόνης,Exit FullScreen,pois täydestä näytöstä,Sortir du plein écran,Smanji ekran,Keluar Fullscreen,Esci da modalità schermo intero,,Wyłączyć tryb pełnoekranowy,Sair do modo pleino ecrà,Keluar Fullscreen,Stop tonen op volledig scherm,Выйти из режима Полного экрана,Salir de pantalla completa,Thoát
Scribble,Zhgarravina,سكريبل,,Kritzeln,Ζωγραφιά,Scribble,raaputus,Gribouille,Škrabotine,Scribble,Scarabocchio,,Bazgrać,Rabiscos,Scribble,Kribbel Krabbel,Каракули,Garabato,Nguệch ngoạc
Colors,Ngjyra,الالوان,颜色,Farben!,Χρώματα!,Colors !,värit,Couleurs !,Boje,Warna !,Colori!,,Kolory!,Cores,Warna !,Kleuren !,Цвета,Colores!,Màu!
Lapins,Lepurusha,الارانب,,Conejos,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Rabbits,jänis,Lapins,Zečevi,Arnab,Conigli,,Króliki,Coelhos,Arnab,Konijnen,Кролики,Conejos,Thỏ
Divisor,Ndarës,المقسوم عليه,,Divisor,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Divisor,jakaja,Diviseur,Podijeli,Pembahagi,Divisore,,Dzielnik,Divisor,Pembahagi,Delen,Делитель,Divisor,Phép chia
Piano,Piano,بيانو,,Piano,Πιάνο,Piano,piano,Piano,Sviraj piano,Piano,Pianoforte,,Pianino,Piano,Piano,Piano,Пианино,Piano,Đàn Piano
Colors!,Ngjyros!,تلوين,,Färbung,Χρωματίζω,Coloring,värit,Coloriage,Oboji,Mewarna,Colorare,,Kolorowanie,Coloraçaõ,Mewarna,Schilderen,Раскраска,Colorear,Tô màu
LoadImg,Ngarko Imazhin,تحميل الصورة,,Bild laden,Φόρτωση εικόνας,Load image,lataa,Charger image,Učitavanje slike ,Muatkan imej,Carica immagine,,Załaduj obraz,*Carregar imagem,Muatkan imej,Laad foto,Загрузить изображение,Cargar imagen,Load ảnh
SaveImg,Ruaj Imazhin,حفظ الصورة,,Bild speichern,Αποθήκευση εικόνας,Save image,tallentaa,Sauvegarder image,Sačuvaj sliku,Menyimpan imej,Salva immagine,,Zapisać obraz,*Salvar imagem,Menyimpan imej,Bewaar foto,Сохранить изображение,Guardar imagen,Lưu ảnh
imgLoadChooserTitle,Zgjidh imazhin për të ngarkuar,اختار الصورة لتحميل,,Wählen Sie Ihr Bild zum Laden,Επιλέξτε την εικόνα που θέλετε να φορτώσετε,Choose your image to load,lataa valitun tiedoston,Choisissez votre image à charger,Izaberi sliku,Pilih imej anda untuk dimuatkan,Scegli la tua immagine da caricare,,Wybierz obraz do załadowania,*Escolha sua imagem para carregar,Pilih imej anda untuk dimuatkan,Kies je foto om te laden,Выберите изображение для загрузки,Elige tu imagen para cargar,Chọn ảnh để mở
imgSaveChooserTitle,Zgjidh imazhin për të ruajtur,اختيار الصورة للحفظ,,Wähle dein Bild zum Speichern aus,Επιλέξτε την εικόνα που θέλετε να αποθηκεύσετε,Choose your image to save,tallentaa valitun tiedostin,choisissez votre image à sauvegarder,Izaberi sliku koju želiš spremiti,Pilih imej anda untuk disimpan,Scegli da tua immagine da salvare,,Wybierz zdjęcie, które chcesz zapisać,Pilih imej anda untuk disimpan,Kies je foto om te bewaren,Выберите изображние для сохранения,Elige tu imagen para guardar,Chọn ảnh để lưu
confirmBWText,Dëshiron të çngjyrosësh imazhin?,هل تريد ازالة لون الصورة؟,,Willst du das Bild verfärben ,Θέλετε να αποχρωματίσετε την εικόνα,Do you want to discolor the image ,varmistaa BW teksti,Voulez-vous décoloriser l'image ,Želiš li promijeniti boju slike?,Adakah anda mahu menghancurkan imej,Vuoi scolorire l'immagine,,Czy chcesz odbarwić obraz,*Você quer descolorir a imagem,Adakah anda mahu menghancurkan imej,Wil je deze kleurplaat terug wit maken?,Хотите обесцветить изображение?,¿Quieres decolorar la imagen?,Bạn có muốn bỏ màu của hình không?
confirmBWTitle,Dëshiron të transformosh në bardhë e zi ?,تحويل الى ابيض و اسود,,In schwarz und weiß verwandeln?,Μετασχηματισμός σε μαύρο και άσπρο;,Transform in black and white ?,varmistaa BW tiedosto,Transformer en noir et blanc ?,Želiš li pretvoriti sliku u crno-bijelo?,Mengubah dalam warna hitam dan putih?,Trasformare in bianco e nero?,,Przekształcić w czerni i bieli?,*Transforme em preto e branco?,Mengubah dalam warna hitam dan putih?,Omzetten in zwart-wit?,Преобразовать в черное и белое?,¿Transformar en blanco y negro?,Chuyển sang chế độ
confirmBWHeader,Dëshiron të tranformosh imazhin në bardhë e zi?,تحويل الصورة الى ابيض و اسود,,Verwandle das Bild in Schwarz-Weiß?,Μετατροπή της εικόνας σε ασπρόμαυρη;,Transform the image in black and white ?,varmistaa BW otsikko,Transformer l'image en noir et blanc ?,Pretvori sliku u crno-bijelo,Mengubah imej dalam hitam dan putih,Trasformare l'immagine in banco e nero?,,Zmień obraz na czarno-biały,*Transforme a imagem em preto e branco?,Mengubah imej dalam hitam dan putih,Beeld omzetten in zwart wit ?,Преобразовать картинку в черное и белое?,¿Transformar la imagen en blanco y negro?,Chuyển hình sang
Room,Dhoma,الغرفة,房间,Das Zimmer,Το δωμάτιο,The room,huone,La pièce,Soba,Bilik,La camera,,Pokój,*A sala,Bilik,De kamer,Комната,La habitación,Căn phòng
Whac-a-mole,Godit urithin,لعبة واكامول,,Whac-a-mole,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Whac-a-mole,Whac-a-mole,Jeu de la taupe,Igra s čekićem,Whac-a-mole,Colpisci una talpa,,Walnij kreta,*Jogo da toupeira,Whac-a-mole,Klop een mol,Замочи крота,Juego del topo,Chơi đập chuột
Cakes,Fabrika e tortave,مصنع الحلويات,,Die Kuchenfabrik ,Το εργοστάσιο κέικ,The cake factory ,kakut,La Fabrique a Gateaux,Tvornica kolača,Kilang kek,La fabbrica dei dolci,,Fabryka ciastek,*A fábrica de bolos,Kilang kek,De cakejes fabriek,Фабрика тортиков,La Fabrica de Pasteles,Xưởng làm bánh ga-tô
MusicFolder,Direktoria e muzikës,ملف الموسيقى,,Musikmappe,φάκελος μουσικής,music folder,musiikkikansio,Dossier musiques,Datoteka Muzika,folder muzik,Cartella musica,,folder muzyczny,*pasta de musica,Folder muzik,Muziek folder,Папка Музыка,Carpeta de música,Thư mục âm nhạc
Order,Rendit,امر,,Reihenfolge,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Order,tilaaja,Ordre,Poredak,Perintah,Ordinare,,Zamówienie/porzadek,*Ordem,Perintah,Bestellen,Заказать,Orden,Thứ tự
EffectsVolume,Efektet e volumit,حجم التأثيرات,,Effektvolumen,εφέ ήχου,effects volume,tehoste äänille,volume des effets,Glasnoća efekata,jumlah kesan,Volume degli effetti,,Nieliczone strzały,*Volume de efeitos,jumlah kesan,Volume effecten,Объм эффектов,Volumen de efectos,Âm lượng của hiệu ứng
reset,Reset,اعادة تعيين,,zurücksetzen,επαναφορά,reset,nollaus,réinitialiser,Resetiraj,menetapkan semula,Resetta,,głośność efektów,*restabelecer,menetapkan semula,Reset,Сброс,Restablecimiento,Đặt lại
ColorDesc,Ngjyros imazhe!,قم بالتلوين باستخدام اي صورة و حفظها,,Färben Sie mit einem beliebigen Bild und speichern Sie das Bild.,Χρωμάτισε εικόνες!,Color images !,väri desc,Coloriez des images !,Oboji bilo koju sliku i sačuvaj,Gambar berwarna!,Colora usando qualsiasi immagine e salvala,,Zrób trochę kolorowania na dowolnym obrazie, a następnie go zapisz.,Gambar berwarna!,Kleur om het even welke plaat en bewaar.,Раскрасьте какое-либо изображение и сохраните его.,Coloree usando cualquier imagen y luego guárdela,Tô màu một hình bất kì và lưu lại
Labyrinth,Labirinti,متاهة,,Labyrinth,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Labyrinth,labyrintti,Labyrinthe,Labirint,Labyrinth,Labirinto,,Labirynt,labirinto,Labyrinth,Labyrint,Лабиринт,Laberinto,Mê cung
