,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
greaterflamingo,Ku është flamingoja më e madhe?,أين طائر الفلامنجو الأعظم؟,Дзе большы фламінга?,更大的火烈鸟在哪里？,Wo ist der größere Flamingo?,Πού είναι το μεγαλύτερο φλαμίνγκο;,Where is the greater flamingo?,Missä suurempi flamingo on?,Où est le flamant rose ?,बड़ा राजहंस कहाँ है?,Gdje je veći flamingo?,Di mana flamingo yang lebih besar?,Dov'è il fenicottero maggiore?,オオフラミンゴはどこにありますか？,Waar is de grotere flamingo?,Gdzie jest większy flaming?,Onde está o maior flamingo?,Где большой фламинго?,¿Dónde está el flamenco mayor?,Chim hồng hạc lớn hơn ở đâu?,Di manakah flamingo yang lebih besar?
hedgehog,Ku është iriq?,أين القنفذ؟,Дзе вожык?,刺猬在哪里？,Wo ist der Igel?,Πού είναι ο σκαντζόχοιρος;,Where is the hedgehog?,Missä siili on?,Où est le hérisson ?,हाथी कहाँ है?,Gdje je jež?,Dimana landak?,Dov'è il riccio?,ハリネズミはどこにありますか？,Waar is de egel?,Gdzie jest jeż?,Onde está o ouriço?,Где ёжик?,¿Dónde está el erizo?,Nhím ở đâu?,Di manakah landak?
hippopotamus,Ku është hipopotami?,أين فرس النهر؟,Дзе знаходзіцца бегемот?,河马在哪里？,Wo ist das Nilpferd?,Πού είναι ο ιπποπόταμος;,Where is the hippopotamus?,Missä virtahepo on?,Où est l'hippopotame ?,दरियाई घोड़ा कहाँ है?,Gdje je nilski konj?,Di mana kuda nil itu?,Dov'è l'ippopotamo?,カバはどこにありますか？,Waar is het nijlpaard?,Gdzie jest hipopotam?,Onde está o hipopótamo?,Где бегемот?,¿Dónde está el hipopótamo?,Hà mã ở đâu?,Di manakah hippopotamus?
horse,Ku është kali?,اين الحصان؟,Дзе конь?,马在哪里？,Wo ist das Pferd?,Πού είναι το άλογο;,Where is the horse?,Missä hevonen on?,Où est le cheval ?,घोड़ा कहाँ है?,Gdje je konj?,Dimana kudanya?,Dov'è il cavallo?,馬はどこですか？,Waar is het paard?,Gdzie jest koń?,Onde está o cavalo?,Где лошадь?,¿Dónde está el caballo?,Con ngựa ở đâu?,Di manakah kuda itu?
hyena,Ku është hiena?,أين الضبع؟,Дзе гіена?,鬣狗在哪里？,Wo ist die Hyäne?,Πού είναι η ύαινα;,Where is the hyena?,Missä hyeena on?,Où est l'hyène ?,हिना कहाँ है?,Gdje je hijena?,Di mana hyena?,Dov'è la iena?,ハイエナはどこですか？,Waar is de hyena?,Gdzie jest hiena?,Onde está a hiena?,Где гиена?,¿Dónde está la hiena?,Linh cẩu ở đâu?,Di manakah dubuk itu?
jellyfish,Ku është kandili i detit?,أين قنديل البحر؟,Дзе медуза?,水母在哪里？,Wo ist die Qualle?,Πού είναι η μέδουσα;,Where is the jellyfish?,Missä meduusa on?,Où est la méduse ?,जेलिफ़िश कहाँ है?,Gdje je meduza?,Dimana ubur-ubur?,Dov'è la medusa?,クラゲはどこ？,Waar is de kwal?,Gdzie jest meduza?,Onde está a água-viva?,Где медуза?,¿Dónde está la medusa?,Con sứa ở đâu?,Di manakah obor-obor?
lion,Ku është luani?,اين الاسد؟,Дзе леў?,狮子在哪里？,Wo ist der Löwe?,Πού είναι το λιοντάρι;,Where is the lion?,Missä leijona on?,Où est le lion ?,शेर कहाँ है?,Gdje je lav?,Dimana singa?,Dov'è il leone?,ライオンはどこですか？,Waar is de leeuw?,Gdzie jest lew?,Onde está o leão?,Где лев?,¿Dónde está el león?,Sư tử đâu?,Di manakah singa itu?
monkey,Ku është majmuni?,أين هو القرد؟,Дзе малпа?,猴子在哪里？,Wo ist der Affe?,Πού είναι η μαϊμού;,Where is the monkey?,Missä apina on?,Où est le singe ?,बंदर कहाँ है?,Gdje je majmun?,Dimana monyetnya?,Dov'è la scimmia?,猿はどこですか？,Waar is de aap?,Gdzie jest małpa?,Onde está o macaco?,Где обезьяна?,¿Donde esta el mono?,Con khỉ ở đâu?,mana monyet?
octopus,Ku është oktapodi?,أين الأخطبوط؟,Дзе васьміног?,章鱼在哪里？,Wo ist der Oktopus?,Πού είναι το χταπόδι;,Where is the octopus?,Missä mustekala on?,Où est la pieuvre ?,ऑक्टोपस कहाँ है?,Gdje je hobotnica?,Di mana gurita?,Dov'è il polpo?,タコはどこにありますか？,Waar is de octopus?,Gdzie jest ośmiornica?,Onde está o polvo?,Где осьминог?,¿Dónde está el pulpo?,Con bạch tuộc ở đâu?,Di manakah sotong?
owl,Ku është bufi?,أين البومة؟,Дзе сава?,猫头鹰在哪里？,Wo ist die Eule?,Πού είναι η κουκουβάγια;,Where is the owl?,Missä pöllö on?,Où est le hibou ?,उल्लू कहाँ है?,Gdje je sova?,Di mana burung hantu?,Dov'è il gufo?,フクロウはどこですか？,Waar is de uil?,Gdzie jest sowa?,Onde está a coruja?,Где сова?,¿Dónde está el búho?,Con cú ở đâu?,Mana burung hantu?
parrot,Ku është papagalli?,اين الببغاء؟,Дзе папугай?,鹦鹉在哪里？,Wo ist der Papagei?,Πού είναι ο παπαγάλος;,Where is the parrot?,Missä papukaija on?,Où est le perroquet ?,तोता कहाँ है?,Gdje je papiga?,Di mana burung beo?,Dov'è il pappagallo?,オウムはどこですか？,Waar is de papegaai?,Gdzie jest papuga?,Onde está o papagaio?,Где попугай?,¿Dónde está el loro?,Con vẹt ở đâu?,Di manakah burung nuri?
peafowl,Ku është Pallua?,أين الطاووس؟,Дзе знаходзіцца Паўлінка?,孔雀在哪里？,Wo ist der Pfau?,Πού είναι το παγούρι;,Where is the peafowl?,Missä riikinku on?,Où est le paon ?,मोर कहाँ है?,Gdje je paun?,Di mana burung merak?,Dov'è il pavone?,クジャクはどこですか？,Waar is de pauw?,Gdzie jest paw?,Onde está o pavão?,Где павлин?,¿Dónde está el pavo real?,Con công ở đâu?,Mana burung merak?
pig,Ku është derri?,اين الخنزير؟,Дзе свіння?,猪在哪里？,Wo ist das Schwein?,Πού είναι το γουρούνι;,Where is the pig?,Missä sika on?,Où est le cochon ?,सुअर कहाँ है?,Gdje je svinja?,Dimana babi?,Dov'è il maiale?,豚はどこですか？,Waar is het varken?,Gdzie jest świnia?,Onde está o porco?,Где свинья?,¿Dónde está el cerdo?,Con lợn ở đâu?,mana babi?
pigeon,Ku është pëllumbi?,أين الحمامة؟,Дзе голуб?,鸽子在哪里？,Wo ist die Taube?,Πού είναι το περιστέρι;,Where is the pigeon?,Missä kyyhkynen on?,Où est le pigeon ?,कबूतर कहाँ है?,Gdje je golub?,Di mana merpati?,Dov'è il piccione?,鳩はどこですか？,Waar is de duif?,Gdzie jest gołąb?,Onde está o pombo?,Где голубь?,¿Dónde está la paloma?,Chim bồ câu ở đâu?,Di manakah merpati itu?
rabbit,Ku është lepuri?,أين هو الأرنب؟,Дзе трусік?,兔子在哪里？,Wo ist der Hase?,Πού είναι το κουνέλι;,Where is the rabbit?,Missä kani on?,Où est le lapin ?,खरगोश कहाँ है?,Gdje je zec?,Dimana kelinci?,Dov'è il coniglio?,うさぎはどこ？,Waar is het konijn?,Gdzie jest królik?,Onde está o coelho?,Где кролик?,¿Donde está el conejo?,Con thỏ ở đâu?,Di manakah arnab itu?
raccoon,Ku është rakun?,أين الراكون؟,Дзе янот?,浣熊在哪里？,Wo ist der Waschbär?,Πού είναι το ρακούν;,Where is the raccoon?,Missä pesukarhu on?,Où est le raton laveur ?,रैकून कहाँ है?,Gdje je rakun?,Dimana rakun?,Dov'è il procione?,アライグマはどこにありますか？,Waar is de wasbeer?,Gdzie jest szop pracz?,Onde está o guaxinim?,Где енот?,¿Dónde está el mapache?,Gấu trúc ở đâu?,Di manakah raccoon?
raven,Ku është korbi?,أين الغراب؟,Дзе крумкач?,乌鸦在哪里？,Wo ist der Rabe?,Πού είναι το κοράκι;,Where is the raven?,Missä korppi on?,Où est le corbeau ?,रावण कहाँ है?,Gdje je gavran?,Dimana gagak?,Dov'è il corvo?,ワタリガラスはどこにありますか？,Waar is de raaf?,Gdzie jest kruk?,Onde está o corvo?,Где ворон?,¿Dónde está el cuervo?,Con quạ ở đâu?,Di manakah gagak itu?
rhinoceros,Ku është rinoceronti?,أين وحيد القرن؟,Дзе насарог?,犀牛在哪里？,Wo ist das Nashorn?,Πού είναι ο ρινόκερος;,Where is the rhinoceros?,Missä sarvikuono on?,Où est le rhinocéros ?,गैंडा कहाँ है?,Gdje je nosorog?,Di mana badak?,Dov'è il rinoceronte?,サイはどこにありますか？,Waar is de neushoorn?,Gdzie jest nosorożec?,Onde está o rinoceronte?,Где носорог?,¿Dónde está el rinoceronte?,Tê giác ở đâu?,Di manakah badak sumbu?
roe,Ku është kaprolli?,أين البطارخ؟,Дзе казуля?,鱼子在哪里？,Wo ist der Reh?,Πού είναι το αυγοτάραχο;,Where is the roe?,Missä mäti on?,Où est le chevreuil ?,रो कहाँ है?,Gdje je srna?,Dimana roenya?,Dov'è la bottarga?,卵はどこにありますか？,Waar is de ree?,Gdzie jest ikra?,Onde está a ova?,Где икра?,¿Dónde está la hueva?,Trứng cá ở đâu?,Di manakah roe?
seahorse,Ku është kali i detit?,أين فرس البحر؟,Дзе марскі канёк?,海马在哪里？,Wo ist das Seepferdchen?,Πού είναι ο ιππόκαμπος;,Where is the seahorse?,Missä merihevonen on?,Où est l'hippocampe ?,समुद्री घोड़ा कहाँ है?,Gdje je morski konjic?,Dimana kuda laut?,Dov'è il cavalluccio marino?,タツノオトシゴはどこですか？,Waar is het zeepaardje?,Gdzie jest konik morski?,Onde está o cavalo-marinho?,Где морской конёк?,¿Dónde está el caballito de mar?,Con cá ngựa ở đâu?,Di manakah kuda laut?
shark,Ku është peshkaqeni?,أين القرش؟,Дзе акула?,鲨鱼在哪里？,Wo ist der Hai?,Πού είναι ο καρχαρίας;,Where is the shark?,Missä hai on?,Où est le requin ?,शार्क कहाँ है?,Gdje je morski pas?,Di mana hiu?,Dov'è lo squalo?,サメはどこにいますか？,Waar is de haai?,Gdzie jest rekin?,Onde está o tubarão?,Где акула?,¿Dónde está el tiburón?,Cá mập ở đâu?,Di manakah jerung itu?
sheep,Ku është delet?,أين الخروف؟,Дзе авечка?,羊在哪里？,Wo ist das Schaf?,Πού είναι το πρόβατο;,Where is the sheep?,Missä lammas on?,Où est le mouton ?,भेड़ कहाँ है?,Gdje je ovca?,Di mana domba?,Dov'è la pecora?,羊はどこですか？,Waar is het schaap?,Gdzie jest owca?,Onde está a ovelha?,Где овца?,¿Dónde está la oveja?,Con cừu ở đâu?,Di manakah biri-biri itu?
shellfish,Ku është butak?,أين المحار؟,Дзе малюскі?,贝类在哪里？,Wo ist die Schalentiere?,Πού είναι τα οστρακοειδή;,Where is the shellfish?,Missä äyriäinen on?,Où est le coquillage ?,शंख कहाँ है?,Gdje je školjka?,Di mana kerang?,Dov'è il mollusco?,貝はどこにありますか？,Waar is de schelp?,Gdzie jest skorupiaki?,Onde está o marisco?,Где моллюск?,¿Dónde está el marisco?,Con sò ở đâu?,Di manakah kerang?
snakev,Ku është gjarpri?,أين الأفعى؟,Дзе змяя?,蛇在哪里？,Wo ist die Schlange?,Πού είναι το φίδι;,Where is the snake?,Missä käärme on?,Où est le serpent ?,सांप कहाँ है?,Gdje je zmija?,Dimana ularnya?,Dov'è il serpente?,ヘビはどこですか？,Waar is de slang?,Gdzie jest wąż?,Onde está a cobra?,Где змея?,¿Dónde está la serpiente?,Con rắn ở đâu?,Di manakah ular itu?
sparrow,Ku është harabeli?,أين العصفور؟,Дзе верабей?,麻雀在哪里？,Wo ist der Spatz?,Πού είναι το σπουργίτι;,Where is the sparrow?,Missä varpunen on?,Où est le moineau ?,गौरैया कहाँ है?,Gdje je vrabac?,Di mana burung gereja?,Dov'è il passero?,スズメはどこにありますか？,Waar is de mus?,Gdzie jest wróbel?,Onde está o pardal?,Где воробей?,¿Dónde está el gorrión?,Con chim sẻ ở đâu?,Di manakah burung pipit?
squirrel,Ku është ketri?,أين السنجاب؟,Дзе вавёрка?,松鼠在哪里？,Wo ist das Eichhörnchen?,Πού είναι ο σκίουρος;,Where is the squirrel?,Missä orava on?,Où est l'écureuil ?,गिलहरी कहाँ है?,Gdje je vjeverica?,Dimana tupai?,Dov'è lo scoiattolo?,リスはどこですか？,Waar is de eekhoorn?,Gdzie jest wiewiórka?,Onde está o esquilo?,Где белка?,¿Dónde está la ardilla?,Sóc ở đâu?,mana tupai?
tiger,Ku është tigri?,أين النمر؟,Дзе тыгр?,老虎在哪里？,Wo ist der Tiger?,Πού είναι η τίγρη;,Where is the tiger?,Missä tiikeri on?,Où est le tigre ?,बाघ कहाँ है?,Gdje je tigar?,Dimana harimaunya?,Dov'è la tigre?,虎はどこ？,Waar is de tijger?,Gdzie jest tygrys?,Onde está o tigre?,Где тигр?,¿Dónde está el tigre?,Con hổ ở đâu?,Di manakah harimau itu?
turtle,Ku është breshka?,أين السلحفاة؟,Дзе чарапаха?,乌龟在哪里？,Wo ist die Schildkröte?,Πού είναι η χελώνα;,Where is the turtle?,Missä kilpikonna on?,Où est la tortue ?,कछुआ कहाँ है?,Gdje je kornjača?,Dimana penyu?,Dov'è la tartaruga?,カメはどこですか？,Waar is de schildpad?,Gdzie jest żółw?,Onde está a tartaruga?,Где черепаха?,¿Dónde está la tortuga?,Con rùa ở đâu?,mana penyu?
vulture,Ku është shkaba?,أين النسر؟,Дзе грыф?,秃鹫在哪里？,Wo ist der Geier?,Πού είναι ο γύπας;,Where is the vulture?,Missä korppikotka on?,Où est le vautour ?,गिद्ध कहाँ है?,Gdje je lešinar?,Dimana burung pemakan bangkai?,Dov'è l'avvoltoio?,ハゲタカはどこにありますか？,Waar is de gier?,Gdzie jest sęp?,Onde está o abutre?,Где стервятник?,¿Dónde está el buitre?,Kền kền ở đâu?,Di manakah burung nasar?
whale,Ku është balena?,أين الحوت؟,Дзе кіт?,鲸鱼在哪里？,Wo ist der Wal?,Πού είναι η φάλαινα;,Where is the whale?,Missä valas on?,Où est la baleine ?,व्हेल कहाँ है?,Gdje je kit?,Dimana paus?,Dov'è la balena?,クジラはどこですか？,Waar is de walvis?,Gdzie jest wieloryb?,Onde está a baleia?,Где кит?,¿Dónde está la ballena?,Cá voi ở đâu?,Di manakah ikan paus?
wolf,Ku është ujku?,اين الذئب؟,Дзе воўк?,狼在哪里？,Wo ist der Wolf?,Πού είναι ο λύκος;,Where is the wolf?,Missä susi on?,Où est le loup ?,भेड़िया कहाँ है?,Gdje je vuk?,Di mana serigala?,Dov'è il lupo?,オオカミはどこですか？,Waar is de wolf?,Gdzie jest wilk?,Onde está o lobo?,Где волк?,¿Dónde está el lobo?,Con sói ở đâu?,Mana serigala?
zebra,Ku është zebra?,أين الحمار الوحشي؟,Дзе зебра?,斑马在哪里？,Wo ist das Zebra?,Πού είναι η ζέβρα;,Where is the zebra?,Missä seepra on?,Où est le zèbre ?,ज़ेबरा कहाँ है?,Gdje je zebra?,Dimana zebranya?,Dov'è la zebra?,ゼブラはどこにありますか？,Waar is de zebra?,Gdzie jest zebra?,Onde está a zebra?,Где зебра?,¿Dónde está la cebra?,Ngựa vằn ở đâu?,Di manakah kuda belang?
