,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm,
parallelogram,Ku është paralelogrami?,أين هو متوازي الأضلاع؟,Дзе паралелаграм?,平行四边形在哪里？,Wo ist das Parallelogramm?,Πού είναι το παραλληλόγραμμο,,Where is the parallelogram?,Missä suunnikas on?,Où est le parallélogramme ?,समांतर चतुर्भुज कहाँ है?,Gdje je paralelogram?,Di manakah jajar genjang?,Dov'è il parallelogramma?,平行四辺形はどこにありますか？,Waar is het parallellogram?,Gdzie jest równoległobok?,Onde está o paralelogramo?,Где параллелограмм?,¿Dónde está el paralelogramo?,Hình bình hành ở đâu?,Di manakah segi empat selari?
pentagon,Ku është pesëkëndëshi?,أين البنتاغون؟,Дзе пяцікутнік?,五角大楼在哪里？,Wo ist das Fünfeck?,Πού είναι το πεντάγωνο,,Where is the pentagon?,Missä on viisikulmio?,Où est le pentagone ?,पंचकोण कहाँ है?,Gdje je peterokut?,Di manakah segi lima?,Dov'è il pentagono?,五角形はどこにありますか？,Waar is de vijfhoek?,Gdzie jest pięciokąt?,Onde está o pentágono?,Где пятиугольник?,¿Dónde está el pentágono?,Hình  năm giác ở đâu?,Di manakah pentagon?
rectangle,Ku është drejtkëndëshi?,أين المستطيل؟,Дзе прастакутнік?,长方形在哪里？,Wo ist das Rechteck?,Πού είναι το ορθογώνιο,,Where is the rectangle?,Missä on suorakulmio?,Où est le rectangle ?,आयत कहाँ है?,Gdje je pravokutnik?,Di manakah segi empat tepat?,Dov'è il rettangolo?,長方形はどこにありますか？,Waar is de rechthoek?,Gdzie jest prostokąt?,Onde está o retângulo?,Где прямоугольник?,¿Dónde está el rectángulo?,Hình chữ nhật ở đâu?,Di manakah segi empat tepat?
rhombus,Ku është rombi?,أين المعين؟,Дзе ромб?,菱形在哪里？,Wo ist die Raute?,Πού είναι ο ρόμβος,,Where is the rhombus?,Missä on rombi?,Où est le losange ?,रोम्बस कहाँ है?,Gdje je romb?,Di manakah belah ketupat?,Dov'è il rombo?,ひし形はどこにありますか？,Waar is de ruit?,Gdzie jest romb?,Onde está o losango?,Где ромб?,¿Dónde está el rombo?,Hình thoi ở đâu?,Di manakah belah ketupat?
round,Ku është raundi?,أين الجولة؟,Дзе раўнд?,圆在哪里？,Wo ist die Runde?,Πού είναι ο γύρος,,Where is the circle?,Missä kierros on?,Où est le rond ?,दौर कहाँ है?,Gdje je krug?,Di manakah pusingan itu?,Dov'è il giro?,ラウンドはどこですか？,Waar is de ronde?,Gdzie jest runda?,Onde está a rodada?,Где раунд?,¿Dónde está la ronda?,Vòng ở đâu?,Di manakah pusingan?
square,Ku është sheshi?,أين الساحة؟,Дзе пляц?,广场在哪里？,Wo ist das Quadrat?,Πού είναι η πλατεία,,Where is the square?,Missä aukio on?,Où est le carré ?,चौक कहाँ है?,Gdje je trg?,Di manakah dataran itu?,Dov'è la piazza?,広場はどこですか？,Waar is het plein?,Gdzie jest plac?,Onde fica a praça?,Где квадрат?,¿Dónde está la plaza?,Quảng trường ở đâu?,Di manakah dataran?
star,Ku është ylli?,اين النجم؟,Дзе зорка?,星星在哪里？,Wo ist der Stern?,Πού είναι το αστέρι,,Where is the star?,Missä tähti on?,Où est l’étoile ?,तारा कहाँ है?,Gdje je zvijezda?,Di manakah bintang?,Dov'è la stella?,星はどこですか？,Waar is de ster?,Gdzie jest gwiazda?,Onde esta a estrela,Где звезда?,¿Dónde esta la estrella?,Ngôi sao ở đâu?,Di manakah bintang?
trapeze,Ku është trapezi?,أين الأرجوحة؟,Дзе трапецыя?,空中飞人在哪里？,Wo ist das Trapez?,Πού είναι το τραπέζιο,,Where is the trapeze?,Missä trapetsi on?,Où est le trapèze ?,ट्रेपेज़ कहाँ है?,Gdje je trapez?,Di manakah trapezenya?,Dov'è il trapezio?,空中ブランコはどこにありますか？,Waar is de trapeze?,Gdzie jest trapez?,Onde está o trapézio?,Где трапеция?,¿Dónde está el trapecio?,Trapeze ở đâu?,Di manakah trapez?
trefoil,Ku është trefletë?,أين هو البرسيم؟,Дзе трыліснік?,三叶草在哪里？,Wo ist das Klee?,Πού είναι το τριφύλλι,,Where is the trefoil?,Missä apila on?,Où est le trèfle ?,तिपतिया घास कहाँ है?,Gdje je trolist?,Di manakah trefoilnya?,Dov'è il trifoglio?,三つ葉はどこにありますか？,Waar is de driepoot?,Gdzie jest koniczyna?,Onde está o trevo?,Где трилистник?,¿Dónde está el trébol?,Cây ba lá ở đâu?,Di manakah trefoil?
triangle,Ku është trekëndëshi?,أين المثلث؟,Дзе трохкутнік?,三角形在哪里？,Wo ist das Dreieck?,Πού είναι το τρίγωνο,,Where is the triangle?,Missä on kolmio?,Où est le triangle ?,त्रिकोण कहाँ है?,Gdje je trokut?,Di manakah segitiga itu?,Dov'è il triangolo?,三角形はどこにありますか？,Waar is de driehoek?,Gdzie jest trójkąt?,Onde está o triângulo?,Где треугольник?,¿Dónde está el triángulo?,Hình tam giác ở đâu?,Di manakah segitiga?
