AVAILABLE LANGUAGES,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
Horses Simplified,Lojë me kuaj të vegël (thjeshtuar),لعبة الخيول الصغيرة (مبسطة),Конікі (спрошчаная версія),小马游戏（简化）,Kleines Pferdespiel (vereinfacht),Παιχνίδι με μικρά άλογα (απλοποιημένο),Game of small horses (simplified),Pieni hevospeli (yksinkertaistettu),Jeu des petits chevaux (simplifiés),छोटे घोड़े का खेल (सरलीकृत),Mala konjska igra (pojednostavljeno),Permainan kuda kecil (disederhanakan),Gioco di cavalli (semplificato),小さな馬のゲーム (簡略化),Mens erger je niet! (vereenvoudigd),Mała gra o koniach (uproszczona),Jogo de cavalo pequeno (simplificado),Лошадки (упрощенная версия),Juego de caballitos (simplificado),Trò chơi ngựa nhỏ (đơn giản hóa),Permainan kuda kecil (dipermudahkan)
Labyrinth,Labirinti,متاهة,Лабірынт,迷宫,Labyrinth,Λαβύρινθος,Labyrinth,labyrintti,Labyrinthe,भूलभुलैया,Labirint,Labyrinth,Labirinto,ラビリンス,Doolhof,Labirynt,labirinto,Лабиринт,Laberinto,Mê cung,Labyrinth
Ladder,Shkallë,سُلُّم,Лесвіца,梯子,Leiter,Σκάλα,Ladder,Tikapuut,Échelle,सीढ़ी,Ljestve,Tangga,Scala,はしご,Ladder,Drabina,Escada,Лестница,Escalera,Thang,Tangga
Letters,Identifikoni letrat,التعرف على الحروف,Вызначце літары,识别字母,Identifizieren Sie die Buchstaben,Προσδιορίστε τα γράμματα,Identify the Letters,Tunnista kirjaimet,Identifier les lettres,अक्षरों को पहचानें,Prepoznajte slova,Mengidentifikasi Huruf,Identifica le lettere,文字を識別する,Identificeer de letters,Zidentyfikuj litery,Identifique as letras,Определите буквы,Identificar las letras,Xác định các chữ cái,Kenal pasti Huruf
MagicCards,Karta magjike,اوراق سحرية,Чароўныя карты,魔幻卡,Zauberkarten,Επιτυχημένες αποκαλύψεις,Magic cards,Taikakortit,Cartes magiques,जादू कार्ड,Čarobne kartice,Kad sihir,Carte magiche,マジックカード,Magische kaarten,Magiczne karty,Cartas mágicas,Волшебные карты,Tarjetas mágicas,Những quân bài ma thuật,Kad sihir
Math101: Addition,Matematika 101: Mbledhja,رياضيات 101: الجمع,Вучымся лічыць: Складанне,数学101：加法,Mathe 101: Addition,Μαθηματικά 101: Πρόσθεση,Math 101: Addition,Matematiikka 101: Lisäys,Apprends les Maths : Additions,गणित 101: जोड़,Matematika 101: Zbrajanje,Matematika 101: Penambahan,Matematica 101: Aggiunta,数学 101: 足し算,Wiskunde 101: Optellen,Matematyka 101: Dodawanie,Matemática 101: Adição,Учимся считать: Сложение,Matemáticas 101: Suma,Toán 101: Phép cộng,Matematik 101: Penambahan
Math101: All operations,Matematika 101: Të gjitha veprimet,رياضيات 101: كل العمليات,Вучымся лічыць: Усе вылічальныя аперацыі,数学101：混合运算,Mathe 101: Alle Operationen,Μαθηματικά 101: Όλες οι πράξεις,Math 101: All operations,Matematiikka 101: Kaikki operaatiot,Apprends les Maths : Toutes opérations,गणित 101: सभी ऑपरेशन,Matematika 101: Sve operacije,Matematika 101: Semua operasi,Matematica 101: Tutte le operazioni,数学 101: すべての演算,Wiskunde 101: Alle bewerkingen,Matematyka 101: Wszystkie operacje,Matemática 101: Todas as operações,Учимся считать: Все вычислительные операции,Matemáticas 101: Todas las operaciones,Toán 101: Tất cả các phép toán,Matematik 101: Semua operasi
Math101: Division,Matematika 101: Divizioni,الرياضيات 101: القسمة,Вучымся лічыць: Дзяленне,数学101：除法,Mathe 101: Division,Μαθηματικά 101: Διαίρεση,Math 101: Division,Matematiikka 101: Jako,Apprends les Maths : Divisions,गणित 101: डिवीजन,Matematika 101: Dijeljenje,Matematika 101: Pembagian,Matematica 101: Divisione,数学 101: 割り算,Wiskunde 101: Delen,Matematyka 101: Dzielenie,Matemática 101: Divisão,Учимся считать: Деление,Matemáticas 101: División,Toán 101: Phép chia,Matematik 101: Bahagian
Math101: Multiplication,Matematika 101: Shumëzimi,رياضيات 101: الضرب,Вучымся лічыць: Множанне,数学101：乘法,Mathe 101: Multiplikation,Μαθηματικά 101: Πολλαπλασιασμός,Math 101: Multiplication,Matematiikka 101: Kertominen,Apprends les Maths : Multiplications,गणित 101: गुणन,Matematika 101: Množenje,Matematika 101: Perkalian,Matematica 101: Moltiplicazione,数学 101: かけ算,Wiskunde 101: Vermenigvuldiging,Matematyka 101: Mnożenie,Matemática 101: Multiplicação,Учимся считать: Умножение,Matemáticas 101: Multiplicación,Toán 101: Phép nhân,Matematik 101: Pendaraban
Math101: Substraction,Matematika 101: Zbritja,رياضيات 101: الطرح,Вучымся лічыць: Адніманне,数学101：减法,Mathe 101: Subtraktion,Μαθηματικά 101: Αφαίρεση,Math 101: Substraction,Matematiikka 101: Vähennys,Apprends les Maths : Soustractions,गणित 101: घटाव,Matematika 101: Oduzimanje,Matematika 101: Pengurangan,Matematica 101: Sottrazione,数学 101: 引き算,Wiskunde 101: aftrekken,Matematyka 101: Odejmowanie,Matemática 101: Subtração,Учимся считать: Вычитание,Matemáticas 101: Resta,Toán 101: Phép trừ,Matematik 101: Tolak
Memory,Kujtesa,الذاكرة,Памяць,记忆,Memory,Μνήμη,Memory,Muisti,Memory,मेमोरी,Memorija,Memori,Memoria,メモリー,Geheugenspel,Pamięć,Memória,Память,Memoria,Bộ nhớ,Memori
MemoryLetters,Kujtesa (shkronjat),الذاكرة (بالحروف),Памяць (літары),记忆（字母）,Memory (Buchstaben),Μνήμη (γράμματα),Memory (letters),Muisti (kirjaimet),Memory (lettres),मेमोरी (अक्षर),Memorija (slova),Memori (huruf),Memoria (lettere),メモリー（文字）,Geheugenspel (brieven),Pamięć (litery),Memória (letras),Память (буквы),Memoria (letras),Bộ nhớ (chữ cái),Memori (huruf)
MemoryNumbers,Kujtesa (numrat),الذاكرة (أرقام),Памяць (лічбы),记忆（数字）,Memory (Zahlen),Μνήμη (αριθμοί),Memory (numbers),Muisti (numerot),Memory (nombres),मेमोरी (संख्या),Memorija (brojevi),Memori (angka),Memoria (numeri),メモリー（数字）,Geheugenspel (cijfers),Pamięć (liczby),Memória (números),Память (числа),Memoria (números),Bộ nhớ (số),Memori (nombor)
Ninja,Ninja!,نينجا!,Ніндзя!,忍者！,Ninja!,Νίντζα!,Ninja!,Ninja!,Ninja !,निंजा!,Ninja!,Ninja!,Ninja!,忍者！,Ninja !,Ninja!,Ninja!,Ниндзя!,¡Ninja!,Nhẫn giả!,Ninja!
OpenMemory,Kujtesa e hapur,الذاكرة مفتوحة,Адкрыйце Памяць,记忆打开,Memory offen,Ανοίξτε μνήμη,Open Memory,Avaa Muisti,Memory ouvert,ओपन मेमोरी,Otvorena Memorija,Buka Memori,Memoria aperta,メモリーオープン,Gehengenspel open,Otwarta pamięć,Memória aberta,Открытая память,Memoria abierta,Mở bộ nhớ,Buka Memori
OpenMemoryLetters,Kujtesa e hapur (shkronjat),الذاكرة مفتوحة (بالحروف),Адкрытая памяць (літары),记忆打开（字母）,Memory offen (Buchstaben),Ανοιχτή μνήμη (γράμματα),Open Memory (letters),Avaa muisti (kirjaimet),Memory ouvert (lettres),ओपन मेमोरी (अक्षर),Otvorena Memorija (slova),Buka Memori (huruf),Memoria aperta (lettere),メモリーオープン（文字）,Gehengenspel open (brieven),Otwarta pamięć (litery),Memória aberta (letras),Открытая память (буквы),Memoria abierta (letras),Mở bộ nhớ (chữ cái),Buka Memori (huruf)
OpenMemoryNumbers,Kujtesa e hapur (numrat),الذاكرة مفتوحة (أرقام),Адкрытая памяць (лічбы),记忆打开（数字）,Memory offen (Zahlen),Ανοιχτή μνήμη (αριθμοί),Open Memory (numbers),Avaa muisti (numerot),Memory ouvert (nombres),ओपन मेमोरी (संख्या),Otvorena Memorija (brojevi),Buka Memori (angka),Memoria aperta (numeri),メモリーオープン (数字),Gehengenspel open (cijfers),Otwarta pamięć (liczby),Memória aberta (números),Открытая память (числа),Memoria abierta (números),Mở bộ nhớ (số),Buka Memori (nombor)
Opinions,Mendimet,آراء,Меркаванні,意见,Meinungen,Απόψεις,Opinions,Mielipiteet,Opinions,राय,Mišljenja,Pendapat,Opinioni,ご意見・ご感想,Meningen,Opinie,Opiniões,Мнения,Opiniones,Ý kiến,Pendapat
Order,Rendit,امر,Мішэні па парадку,排序,Reihenfolge,Σειρά,Order,Tilaaja,Ordre,आदेश,Poredak,Perintah,Ordinare,注文,Bestellen,Zamówienie,Ordem,Мишени по порядку,Orden,Thứ tự,Perintah
Paper-Scissors-Stone,,,Камень-Нажніцы-Папера,岩纸剪刀 ,,,Rock-Paper-Scissors,,Pierre-Papier-Ciseaux,,,,,,,,,Камень-Ножницы-Бумага,,,
PersonalizeEggGame,Lojë me vezë e personalizuar,لعبة البيض شخصية,Разбі яйка персаналізацыя,孵鸡蛋,Eierspiel personalisiert,Εξατομικευμένο παιχνίδι αυγών,Egg Game personalised,Henkilökohtainen munapeli,Jeu de l'oeuf personnalisation,अंडा खेल व्यक्तिगत,Personalizirana igra jaja,Game Telur dipersonalisasi,Egg Game personalizzato,卵のゲームのパーソナライズ,Egg Game gepersonaliseerd,Spersonalizowana gra w jajka,Ovo Game personalizado,Разбей яйцо персонализация,Juego de huevos personalizado,Trò chơi trứng cá nhân hóa,Permainan Telur diperibadikan
Pet,Kam një Biball !,لدي كويرات,Тамагочы,我有一只Bibole！,Ich habe ein Biboles,Έχω ένα Biball!,I've got a Biball !,Lemmikki,J'ai un Biboule !,मेरे पास एक बाइबॉल है!,Imam Biboule!,Saya mempunyai Biball!,Ho un Biball!,バイボールを手に入れた！,Ik heb een paar !,Mam Biballa!,Eu tenho um Biball!,Домашний питомец,Yo tengo un Bibole!,Tôi có Bóng Bi!,Saya mempunyai Biball!
Piano,Piano,بيانو,Піяніна,琴键,Piano,Πιάνο,Piano,Piano,Piano,पियानो,Sviraj piano,Piano,Pianoforte,ピアノ,Piano,Pianino,Piano,Пианино,Piano,Đàn Piano,Piano
PortraitBubbles,Flluska me portrete,فقاعات,Бурбалкі з малюнкамі,肥皂泡,Porträt Blasen,Φυσαλίδες με πορτρέτα,Portrait Bubbles,Muotokuvakuplat,Bulles portrait,पोर्ट्रेट बबल्स,Mjehurići s portretom,Potret Bubbles,Bolle con ritratto,しょうぞうのあわ,Foto Bubbels,Bąbelki portretowe,Bulha retrato,Пузырьки с картинками,Burbujas retrato,Bong bóng có chân dung,Potret Bubbles
Potions,Ilaçet Magjike,جرعات سحرية,Чароўныя зелля,魔法药水,Zaubertränke,Μαγικά φίλτρα,Magic Potions,Taikajuomat,Potions Magiques,जादू औषधि,Čarobni napitci,Ramuan Ajaib,Pozioni Magiche,魔法のポーション,Toverdrankjes,Magiczne Mikstury,Poções mágicas,Волшебные зелья,Pociones Mágicas,Thuốc ma thuật,Ramuan Ajaib
Puzzle,Lojë ngacmuese,لعبة إغاظة,Мозайка,滑动拼图,Neckendes Spiel,πειράγμα παιχνίδι,Sliding Puzzle,Kiusantekopeli,Jeu de taquin,छेड़ने वाला खेल,Igra zadirkivanja,Permainan menggoda,Puzzle scorrevole,からかいゲーム,Schuifpuzzel,Drażniąca gra,Jogo de provocação,Мозайка,Juego de burlas,Trò chơi trêu chọc,Permainan mengusik
Rabbits,Lepurusha,الارانب,Трусы,兔子,Conejos,Κουνέλια,Rabbits,Jänis,Lapins,खरगोश,Zečevi,Arnab,Conigli,うさぎ,Konijnen,Króliki,Coelhos,Кролики,Conejos,Thỏ,Arnab
Room,Dhoma,الغرفة,Пакой,房间,Das Zimmer,Το δωμάτιο,The room,Huone,La pièce,कमरा,Soba,Bilik,La camera,部屋,De kamer,Pokój,A sala,Комната,La habitación,Căn phòng,Bilik
RushHour,Ora e pikut,ساعة الذروة,Гадзіна пік,逃脱堵车,Rush Hour,Ώρα αιχμής,Rush Hour,Ruuhka-aika,Rush Hour,व्यस्त समय,Rush Hour,Masa yang sibuk,Rush Hour,ラッシュアワー,Rush Hour,Godziny szczytu,Rush Hour,Час пик,Rush Hour,Giờ cao điểm,Masa yang sibuk
ScratchCard,Karta gërvishtëse,بطاقات للخدش,Латарэя,刮刮乐,Rubbellose,Επιτυχημένες αποκαλύψεις,ScratchCards,Raaputuskortti,Cartes à gratter,स्क्रैच कार्ड,Zagrebi i osvoji,Kartu Gores,Gratta e vinci,スクラッチカード,Kraskaart,Zdrapki,Raspadinhas,Лотерейка,Tarjetas para raspar,Thẻ cào,ScratchCards
Scribble,Zhgarravina,سكريبل,Крамзолі,涂鸦,Kritzeln,Ζωγραφιά,Scribble,Raaputus,Gribouille,घसीटना,Škrabotine,Tulisan cakar ayam,Scarabocchio,落書き,Kribbel Krabbel,Bazgrać,Rabiscos,Каракули,Garabato,Nguệch ngoạc,Scribble
ShootTheBiboules,Gjuaj Biboules,أطلق النار على الأناجيل,Страляйце ў бібуляў,射击双球,Erschieße die Biboules,Πυροβολήστε τους Μπίμπουλες,Shoot the Biboules,Ammu Biboules,Viser les Biboules,बिबौल्स को गोली मारो,Pucaj u Biboules,Tembak Biboules,Spara alle Bibule,ビブールを撃て,Schiet op de Biboules,Strzelaj do Bibule,Atire nas Biboules,Стреляй в бибулей,Dispara a los biboules,Bắn Biboules,Tembak Biboules
ShootTheRobots,Gjuaj robotët,أطلق النار على الروبوتات,Страляйце ў робатаў,射击机器人,Erschieße die Roboter,Πυροβολήστε τα ρομπότ,Shoot the robots,Ammu robotteja,Viser les robots,रोबोट को गोली मारो,Pucaj u robote,Tembak robotnya,Spara ai robot,ロボットを撃て,Schiet op de robots,Strzelaj do robotów,Atire nos robôs,Стреляй в роботов,Dispara a los robots,Bắn robot,Tembak robot
Sounds,,,,,,,Find the sound source,,Trouve l'origine du son,,,,,,,,,,,,
SoundsOfLife,Tingujt e jetës,أصوات الحياة,Гукі жыцця,音乐之声,Klänge des Lebens,Ήχοι Ζωής,Sounds of Life,Elämän äänet,Les sons de la Vie,जीवन की ध्वनि,Zvukovi života,Suara Kehidupan,Suoni di vita,生命の音,Geluiden van het leven,Dźwięki Życia,Sons da vida,Звуки жизни,Sonidos de la vida,Âm thanh của cuộc sống,Bunyi Kehidupan
SpaceGame,Space Game,لعبة الفضاء,Касмічная гульня,太空游戏,Weltraumspiel,Διαστημικό παιχνίδι,Space Game,Avaruuspeli,Space Game,अंतरिक्ष खेल,Svemirska igra,Permainan Luar Angkasa,Gioco spaziale,宇宙ゲーム,Ruimtespel,Space Game,Jogo Espacial,Космическая игра,Juego espacial,Trò chơi vũ trụ,Permainan Angkasa
SpotDifference,Gjej Ndryshimin,جد الفرق,Знайдзі адрозненне,找不同,Erkenne den Unterschied,Βρείτε τη διαφορά,Spot the Difference,Huomaa ero,Trouvez les différences,अंतर पहचानिए,Primjeti razliku,Tempat perbedaan,Trova la differenza,違いを見つける,Zoek het verschil,,Localize a diferença,Найди отличие,Encuentra la diferencia,Phát hiện sự khác biệt,Cari Perbezaan
TicTacToe,Tic Tac Toe,تيك تاك تو,Крыжыкі-нулікі,井字游戏,Tic-Tac-Toe,Τρίλιζα,Tic-tac-toe,Ristinolla,Morpion,टिक टीएसी को पैर की अंगुली,Križić kružić,Tic Tac Toe,Tris,○×ゲーム,Boter kaas en eieren,Kółko i krzyżyk,Jogo da velha,Крестики-нолики,Tres en raya,Tic Tac Toe,Tic Tac Toe
VideoGrid,Rrjeti video,شبكة الفيديو,Відэа разметка,网格视频,Videoraster,Πλέγμα βίντεο,Video Grid,Videoruudukko,Grille de vidéos,वीडियो ग्रिड,Video rešetka,Kisi video,Griglia video,ビデオグリッド,Video rooster,Siatka wideo,Grade de vídeo,Видео разметка,Cuadrícula de vídeo,Lưới video,Grid video
VideoPlayer,Luajtësi i videos me komente,مشغل فيديو مع ملاحظات,Відэаплэер з зваротнай сувяззю,视频播放器（带反馈）,Videoplayer mit Feedback,Πρόγραμμα αναπαραγωγής βίντεο με σχόλια,Video Player with Feedback,Videosoitin ja palaute,Lecteur Video avec retour,फीडबैक के साथ वीडियो प्लेयर,Video player s povratnim informacijama,Pemutar Video dengan Umpan Balik,Lettore video con feedback,フィードバック付きのビデオ プレーヤー,Video speler met feedback,Odtwarzacz wideo z informacją zwrotną,Player de vídeo com feedback,Видеоплеер с обратной связью,Reproductor de video con comentarios,Trình phát video có phản hồi,Pemain Video dengan Maklum Balas
MediaPlayer,Media Player,مشغل الوسائط,Медыя плэер,媒体播放器,Media Player,Media Player,Media Player,media player,Media Player,,Media Player,Pemain media,Media Player,,Media Player,Odtwarzacz multimedialny,Media Player,Медиа плеер,Media Player,Media Player,Pemain media
WhacAMole,Godit urithin,لعبة واكامول,Замачы крата,打地鼠,Whac-a-mole,Εντοπισμός στόχου επιτυχημένες προσπάθειες,Whac-a-mole,Whac-a-mole,Jeu de la taupe,तिल का खेल,Igra s čekićem,Whac-a-mole,Colpisci una talpa,,Klop een mol,Walnij kreta,Jogo da toupeira,Замочи крота,Juego del topo,Chơi đập chuột,Whac-a-mole
WhereIsIt,Ku është?,اين هذا؟,Дзе гэта знаходзіцца?,它在哪？,Wo ist es?,Επιτυχημένες αποκαλύψεις,Where is it ?,missä se on,Où est-ce ?,,Gdje je?,Di mana ia?,Dov'è?,これはドコ？,Waar is het?,Gdzie to jest ?,Onde é ?,Где это находится?,Donde está?,Nó ở đâu?,Di mana ia?
